sequence,date,type,sourceNoteReviewStatus,reviewFlags,title,sourceNoteDraftForReview,workingProvenanceForAudit,baseFrusSourceNote,facePageAddendaForReview,subject,dateTimePlace,participantsBlock,notetaker,interpreter,classificationMarking,classifiedBy,reason,declassifyOn,declassifiedBy,packetPages,actualConversationPacketPages,sourcePdfPages,pdfUrl,sourcePacketUrl
"63","1998-05-21","Telcon","Needs source-note review","classification marking","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2038, Folder Title/Record ID 9803714, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Larry Wright, Bonnie Click, James Smith, Peter Huggins, Jenny McGee, Pat 0'Shaughnessy, Ki Fort as notetaker. The face page identifies Peter Afanasenko as interpreter. The face page gives the date/time/place as: May 21, 1998, 10:41-1052 a.m. EDT, Oval Office.","Source PDF pages 301-303. Source marker/provenance page 295. Compiler packet pages 392-395; actual conversation pages 392-394; provenance sheet page 395.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2038, Folder Title/Record ID 9803714, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Boris Yeltsin ^ | Date/time/place: May 21, 1998, 10:41-1052 a.m. EDT, Oval Office | Classified by: Glyn T. Davies PER E.0.13526 | Reason: 1.5 (b) | Declassify on: 5/20/08 3/\yax>i« K8h | Notetaker: Larry Wright, Bonnie Click, James Smith, Peter Huggins, Jenny McGee, Pat 0'Shaughnessy, Ki Fort | Interpreter: Peter Afanasenko | Participants block: The President President Boris Yeltsin Interpreter: Peter Afanasenko Notetakers: Larry Wright, Bonnie Click, James Smith, Peter Huggins, Jenny McGee, Pat 0'Shaughnessy, Ki Fort","Telephone Conversation with Russian President Boris Yeltsin ^","May 21, 1998, 10:41-1052 a.m. EDT, Oval Office","The President President Boris Yeltsin Interpreter: Peter Afanasenko Notetakers: Larry Wright, Bonnie Click, James Smith, Peter Huggins, Jenny McGee, Pat 0'Shaughnessy, Ki Fort","Larry Wright, Bonnie Click, James Smith, Peter Huggins, Jenny McGee, Pat 0'Shaughnessy, Ki Fort","Peter Afanasenko","","Glyn T. Davies PER E.0.13526","1.5 (b)","5/20/08 3/\yax>i« K8h","Classified by: Glyn T. Davies PER E.0.13526 | Declassify On: 5/20/08 3/\yax>i« K8h","392-395","392-394","301-303","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
"64","1998-05-28","Telcon","Needs source-note review","classification marking","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2039, Folder Title/Record ID 9803875, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Cindy Lawrence as notetaker. The face page identifies Kyrill Borissow as interpreter. The face page gives the date/time/place as: May 28, 1998, 11:53 a.m. - 12:14 p.m. EDT, Oval Office.","Source PDF pages 329-332. Source marker/provenance page 322. Compiler packet pages 396-400; actual conversation pages 396-399; provenance sheet page 400.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2039, Folder Title/Record ID 9803875, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Boris Yeltsin | Date/time/place: May 28, 1998, 11:53 a.m. - 12:14 p.m. EDT, Oval Office | Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.5(b) PER E.0,13526 ^ | Declassify on: 5/28/08 | Notetaker: Cindy Lawrence | Interpreter: Kyrill Borissow | Participants block: The President President Boris Yeltsin Interpreter: Kyrill Borissow Notetaker: Cindy Lawrence","Telephone Conversation with Russian President Boris Yeltsin","May 28, 1998, 11:53 a.m. - 12:14 p.m. EDT, Oval Office","The President President Boris Yeltsin Interpreter: Kyrill Borissow Notetaker: Cindy Lawrence","Cindy Lawrence","Kyrill Borissow","","Glyn T. Davies DECLASSIFIED","1.5(b) PER E.0,13526 ^","5/28/08","Classified by: Glyn T. Davies DECLASSIFIED | Declassify on: 5/28/08","396-400","396-399","329-332","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
"65","1998-06-15","Telcon","Needs source-note review","classification marking","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2045, Folder Title/Record ID 9804474, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Bob Ford, Cindy Lawrence, Andrew Weiss as notetaker. The face page identifies Kyrill Borissow as interpreter. The face page gives the date/time/place as: June 15, 1998, 1:21 p.m, - 1:57 p.m. EDT, Oval Office.","Source PDF pages 342-346. Source marker/provenance page 336. Compiler packet pages 401-406; actual conversation pages 401-405; provenance sheet page 406.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2045, Folder Title/Record ID 9804474, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Boris Yeltsin | Date/time/place: June 15, 1998, 1:21 p.m, - 1:57 p.m. EDT, Oval Office | Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.5(b) PER E.0.13526 | Declassify on: 6/19/08 2Lo\5-o732.- X | Notetaker: Bob Ford, Cindy Lawrence, Andrew Weiss | Interpreter: Kyrill Borissow | Participants block: The President President Boris Yeltsin Interpreter: Kyrill Borissow Notetakers: Bob Ford, Cindy Lawrence, Andrew Weiss","Telephone Conversation with Russian President Boris Yeltsin","June 15, 1998, 1:21 p.m, - 1:57 p.m. EDT, Oval Office","The President President Boris Yeltsin Interpreter: Kyrill Borissow Notetakers: Bob Ford, Cindy Lawrence, Andrew Weiss","Bob Ford, Cindy Lawrence, Andrew Weiss","Kyrill Borissow","","Glyn T. Davies DECLASSIFIED","1.5(b) PER E.0.13526","6/19/08 2Lo\5-o732.- X","Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.5(b) PER E.0.13526 | Declassify on: 6/19/08 2Lo\5-o732.- X","401-406","401-405","342-346","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
"66","1998-06-16","Telcon","Needs source-note review","classification marking","Telephone call with President Boris Yeltsin of Russia, June 16, 1998, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9804476, Original OA/ID 2045, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Tom Crowell, Nick Dowling, Bonnie Click, Joel Schrader, James Smith, Andrew Weiss as notetaker. The face page identifies Dimitry Zarechnak as interpreter. The face page gives the date/time/place as: June 16, 1998, 10:50 a.m - 10:58 a.m. EDT, Oval Office.","Source PDF pages 359-360. Source marker/provenance page 352. Compiler packet pages 407-409; actual conversation pages 407-408; provenance sheet page 409.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9804476, Original OA/ID 2045, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation wit^ Russian President Boris Yeltsin | Date/time/place: June 16, 1998, 10:50 a.m - 10:58 a.m. EDT, Oval Office | Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.5(b) PER E.0.13526 ^ ^ | Declassify on: 6/19/08 | Notetaker: Tom Crowell, Nick Dowling, Bonnie Click, Joel Schrader, James Smith, Andrew Weiss | Interpreter: Dimitry Zarechnak | Participants block: The President President Boris Yeltsin Interpreter: Dimitry Zarechnak Notetakers: Tom Crowell, Nick Dowling, Bonnie Click, Joel Schrader, James Smith, Andrew Weiss","Telephone Conversation wit^ Russian President Boris Yeltsin","June 16, 1998, 10:50 a.m - 10:58 a.m. EDT, Oval Office","The President President Boris Yeltsin Interpreter: Dimitry Zarechnak Notetakers: Tom Crowell, Nick Dowling, Bonnie Click, Joel Schrader, James Smith, Andrew Weiss","Tom Crowell, Nick Dowling, Bonnie Click, Joel Schrader, James Smith, Andrew Weiss","Dimitry Zarechnak","","Glyn T. Davies DECLASSIFIED","1.5(b) PER E.0.13526 ^ ^","6/19/08","Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.5(b) PER E.0.13526 ^ ^ | Declassify on: 6/19/08","407-409","407-408","359-360","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-16-telcon-59.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
"67","1998-07-10","Telcon","Needs source-note review","classification marking","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2048, Folder Title/Record ID 9804971, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Jim Smith, Jeff Rathke, Lyle Harrison, Doug Baylel, Andrew Weiss as notetaker. The face page identifies Dimitry Zarechnak as interpreter. The face page gives the date/time/place as: July 10, 1998, 1:19 p.m. - 1:38 p.m. EDT, Oval Office.","Source PDF pages 371-374. Source marker/provenance page 365. Compiler packet pages 410-414; actual conversation pages 410-413; provenance sheet page 414.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2048, Folder Title/Record ID 9804971, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Boris Yeltsin | Date/time/place: July 10, 1998, 1:19 p.m. - 1:38 p.m. EDT, Oval Office | Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.5(d) PER E.0.13526. | Declassify on: 7/10/08 0.015--o73iL-Ph- | Notetaker: Jim Smith, Jeff Rathke, Lyle Harrison, Doug Baylel, Andrew Weiss | Interpreter: Dimitry Zarechnak | Participants block: The President President Boris Yeltsin Interpreter: Dimitry Zarechnak Notetakers: Jim Smith, Jeff Rathke, Lyle Harrison, Doug Baylel, Andrew Weiss","Telephone Conversation with Russian President Boris Yeltsin","July 10, 1998, 1:19 p.m. - 1:38 p.m. EDT, Oval Office","The President President Boris Yeltsin Interpreter: Dimitry Zarechnak Notetakers: Jim Smith, Jeff Rathke, Lyle Harrison, Doug Baylel, Andrew Weiss","Jim Smith, Jeff Rathke, Lyle Harrison, Doug Baylel, Andrew Weiss","Dimitry Zarechnak","","Glyn T. Davies DECLASSIFIED","1.5(d) PER E.0.13526.","7/10/08 0.015--o73iL-Ph-","Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.5(d) PER E.0.13526. | Declassify On: 7/10/08 0.015--o73iL-Ph-","410-414","410-413","371-374","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
"68","1998-08-14","Telcon","Needs source-note review","classification marking","Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2055, Folder Title/Record ID 9805782, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Cindy Lawrence, Sean Tarver, Frank Jarosinski, Robert Ford, Daniel Kunin, Andrew Weiss as notetaker. The face page identifies Kyril Borissow as interpreter. The face page gives the date/time/place as: August 14, 1998, 10:30 a.m.- 11:06 a.m. EDT, Oval Office.","Source PDF pages 384-389. Source marker/provenance page 378. Compiler packet pages 415-421; actual conversation pages 415-420; provenance sheet page 421.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2055, Folder Title/Record ID 9805782, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Yeltsin {^) | Date/time/place: August 14, 1998, 10:30 a.m.- 11:06 a.m. EDT, Oval Office | Classified by: Glyn T. Davies DECLASSmEB | Reason: 1.5 (d) PER E.0.13S26 | Declassify on: 08/17/08 ^15- n- X (i'll! | Notetaker: Cindy Lawrence, Sean Tarver, Frank Jarosinski, Robert Ford, Daniel Kunin, Andrew Weiss | Interpreter: Kyril Borissow | Participants block: President Clinton Russian President Boris Yeltsin Interpreter: Kyril Borissow Notetakers: Cindy Lawrence, Sean Tarver, Frank Jarosinski, Robert Ford, Daniel Kunin, Andrew Weiss","Telephone Conversation with Russian President Yeltsin {^)","August 14, 1998, 10:30 a.m.- 11:06 a.m. EDT, Oval Office","President Clinton Russian President Boris Yeltsin Interpreter: Kyril Borissow Notetakers: Cindy Lawrence, Sean Tarver, Frank Jarosinski, Robert Ford, Daniel Kunin, Andrew Weiss","Cindy Lawrence, Sean Tarver, Frank Jarosinski, Robert Ford, Daniel Kunin, Andrew Weiss","Kyril Borissow","","Glyn T. Davies DECLASSmEB","1.5 (d) PER E.0.13S26","08/17/08 ^15- n- X (i'll!","Classified by: Glyn T. Davies DECLASSmEB | Declassify on: 08/17/08 ^15- n- X (i'll!","415-421","415-420","384-389","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
"69","1998-08-25","Telcon","Needs source-note review","classification marking; notetaker","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2056, Folder Title/Record ID 9805956, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Dmitry Zarechnak Note Takers: Larry Wright, Matt Sibley, Jonathan Elkind, Andrew Weiss as interpreter. The face page gives the date/time/place as: August 25, 1998, 9:39 a.m. - 10:08 a.m. EDT Martha's Vineyard.","Source PDF pages 405-408. Source marker/provenance page 399. Compiler packet pages 422-426; actual conversation pages 422-425; provenance sheet page 426.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2056, Folder Title/Record ID 9805956, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Yeltsin 0Zl | Date/time/place: August 25, 1998, 9:39 a.m. - 10:08 a.m. EDT Martha's Vineyard | Classified by: Glyn T. Davies | Reason: 1.5(d) PER E.0.13526 | Declassify on: 8/26/08 | Interpreter: Dmitry Zarechnak Note Takers: Larry Wright, Matt Sibley, Jonathan Elkind, Andrew Weiss | Participants block: The President Russian President Yeltsin Interpreter: Dmitry Zarechnak Note Takers: Larry Wright, Matt Sibley, Jonathan Elkind, Andrew Weiss","Telephone Conversation with Russian President Yeltsin 0Zl","August 25, 1998, 9:39 a.m. - 10:08 a.m. EDT Martha's Vineyard","The President Russian President Yeltsin Interpreter: Dmitry Zarechnak Note Takers: Larry Wright, Matt Sibley, Jonathan Elkind, Andrew Weiss","","Dmitry Zarechnak Note Takers: Larry Wright, Matt Sibley, Jonathan Elkind, Andrew Weiss","","Glyn T. Davies","1.5(d) PER E.0.13526","8/26/08","DECLASSIFIED | Reason: 1.5(d) PER E.0.13526 | Declassify on: 8/26/08","422-426","422-425","405-408","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
"70","1998-09-12","Telcon","Needs source-note review","classification marking; declassify-on line not parsed","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2058, Folder Title/Record ID 9806300, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Bonnie Click, Liz Rogers, Cindy Lawrence, Matt Sibley, Joel Schrader as notetaker. The face page identifies Dmitry Zarechnak as interpreter. The face page gives the date/time/place as: September 12, 1998, 11:32 - 11:59 a.m. EDT; Oval Office.","Source PDF pages 422-425. Source marker/provenance page 415. Compiler packet pages 427-431; actual conversation pages 427-430; provenance sheet page 431.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2058, Folder Title/Record ID 9806300, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Boris Yeltsin on September 12 | Date/time/place: September 12, 1998, 11:32 - 11:59 a.m. EDT; Oval Office | Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.5b, i PER E.0.13526 | Notetaker: Bonnie Click, Liz Rogers, Cindy Lawrence, Matt Sibley, Joel Schrader | Interpreter: Dmitry Zarechnak | Participants block: The President Russian President Boris Yeltsin Interpreter: Dmitry Zarechnak Notetakers: Bonnie Click, Liz Rogers, Cindy Lawrence, Matt Sibley, Joel Schrader","Telephone Conversation with Russian President Boris Yeltsin on September 12","September 12, 1998, 11:32 - 11:59 a.m. EDT; Oval Office","The President Russian President Boris Yeltsin Interpreter: Dmitry Zarechnak Notetakers: Bonnie Click, Liz Rogers, Cindy Lawrence, Matt Sibley, Joel Schrader","Bonnie Click, Liz Rogers, Cindy Lawrence, Matt Sibley, Joel Schrader","Dmitry Zarechnak","","Glyn T. Davies DECLASSIFIED","1.5b, i PER E.0.13526","","Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.5b, i PER E.0.13526 | Declassify On:","427-431","427-430","422-425","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
"71","1998-10-05","Telcon","Parsed face-page fields available","","Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 100503, Clinton Digital Library item 2016-0620-M, Declassified Documents Concerning Russian President Boris Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies Tony Campariella, Liz Rogers, Robin Rickard, Joel Schrader, Chris Bell as notetaker. The face page identifies Peter Afanasenko as interpreter. The face page gives the date/time/place as: October 5, 1998, 12:01 - 12:18 p.m. EDT, Oval Office.","Source PDF pages 3-5. Compiler packet pages 432-434; actual conversation pages 432-434.","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 100503, Clinton Digital Library item 2016-0620-M, Declassified Documents Concerning Russian President Boris Yeltsin.","Subject: Telephone Conversation with Russian President Boris Yeltsin | Date/time/place: October 5, 1998, 12:01 - 12:18 p.m. EDT, Oval Office | Face-page marking: CONFIDENTIAL- 6863 | Classified by: Glyn T. Davies | Reason: 1.5(d) | Declassify on: 10/7/08 | Notetaker: Tony Campariella, Liz Rogers, Robin Rickard, Joel Schrader, Chris Bell | Interpreter: Peter Afanasenko | Participants block: President Clinton Russian President Yeltsin Interpreter: Peter Afanasenko Notetakers: Tony Campariella, Liz Rogers, Robin Rickard, Joel Schrader, Chris Bell","Telephone Conversation with Russian President Boris Yeltsin","October 5, 1998, 12:01 - 12:18 p.m. EDT, Oval Office","President Clinton Russian President Yeltsin Interpreter: Peter Afanasenko Notetakers: Tony Campariella, Liz Rogers, Robin Rickard, Joel Schrader, Chris Bell","Tony Campariella, Liz Rogers, Robin Rickard, Joel Schrader, Chris Bell","Peter Afanasenko","CONFIDENTIAL- 6863","Glyn T. Davies","1.5(d)","10/7/08","DECLASSIFIED | PER E.0.13526 ^ | Declassify On: 10/7/08","432-434","432-434","3-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/dac856cd6bbd10b93c2eb815862bce44.pdf"
"72","1998-12-30","Telcon","Needs source-note review","classification marking; declassify-on line not parsed","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","Source: William J. Clinton Presidential Library, Telcons - Memoranda of Telephone Conversation, Clinton Digital Library item 119190, Clinton Digital Library item clinton-item-119190, Memorandum of Telephone Conversation with Russian President Yeltsin. [Classification marking to be verified against the source PDF]. The face page identifies David Higgins, Matt Sibley, Doug Bayley, Jim Smith as notetaker. The face page identifies Dmitry Zarechnak as interpreter. The face page gives the date/time/place as: December 30, 1998, 10:00-10:33 a.m., Oval Of ce.","Source PDF pages 1-5. Compiler packet pages 435-439; actual conversation pages 435-439.","Source: William J. Clinton Presidential Library, Telcons - Memoranda of Telephone Conversation, Clinton Digital Library item 119190, Clinton Digital Library item clinton-item-119190, Memorandum of Telephone Conversation with Russian President Yeltsin.","Subject: Telephone Conversa~~ with Russian President Yeltsin~J | Date/time/place: December 30, 1998, 10:00-10:33 a.m., Oval Of ce | Classified by: Glyn T. Davies DECLASSIFIED | Reason: 1.S(b) PER E.O. 13526 | Notetaker: David Higgins, Matt Sibley, Doug Bayley, Jim Smith | Interpreter: Dmitry Zarechnak | Participants block: .President Clinton President Boris Yel in Interpreter: Dmitry Zarechnak Notetakers: David Higgins, Matt Sibley, Doug Bayley, Jim Smith","Telephone Conversa~~ with Russian President Yeltsin~J","December 30, 1998, 10:00-10:33 a.m., Oval Of ce",".President Clinton President Boris Yel in Interpreter: Dmitry Zarechnak Notetakers: David Higgins, Matt Sibley, Doug Bayley, Jim Smith","David Higgins, Matt Sibley, Doug Bayley, Jim Smith","Dmitry Zarechnak","","Glyn T. Davies DECLASSIFIED","1.S(b) PER E.O. 13526","","Classified by: Glyn T. Davies DECLASSIFIED | DeclassiOn:","435-439","435-439","1-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/1ec29c3214c0ccb6c6ed30fd7e5b06af.pdf"
"73","1999-03-24","Telcon","Needs source-note review","classification reason not parsed; declassify-on line not parsed","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902107, Original OA/ID 2719, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo. [Classification marking to be verified against the source PDF]. The face page identifies Jenny McGee, Miles Murphy, Joel Schrader, James Smith, Andrew Weiss as notetaker. The face page identifies Yuri Shkeyrov as interpreter. The face page gives the date/time/place as: March 24, 1998, 9:20 - 9:56 a.m. Oval Office.","Source PDF pages 432-436. Source marker/provenance page 431. Compiler packet pages 440-445; actual conversation pages 440-444; provenance sheet page 445.","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902107, Original OA/ID 2719, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Subject: Telephone Conversation with Russian President Yeltsin | Date/time/place: March 24, 1998, 9:20 - 9:56 a.m. Oval Office | Face-page marking: -SECRET 2107 | Classified by: Glyn T. Davies | Notetaker: Jenny McGee, Miles Murphy, Joel Schrader, James Smith, Andrew Weiss | Interpreter: Yuri Shkeyrov | Participants block: The President President Yeltsin Interpreter: Yuri Shkeyrov Notetakers: Jenny McGee, Miles Murphy, Joel Schrader, James Smith, Andrew Weiss","Telephone Conversation with Russian President Yeltsin","March 24, 1998, 9:20 - 9:56 a.m. Oval Office","The President President Yeltsin Interpreter: Yuri Shkeyrov Notetakers: Jenny McGee, Miles Murphy, Joel Schrader, James Smith, Andrew Weiss","Jenny McGee, Miles Murphy, Joel Schrader, James Smith, Andrew Weiss","Yuri Shkeyrov","-SECRET 2107","Glyn T. Davies","","","WASH I NGTON DECLASSIFIED | PER E.0.13526. | Declassify'on-’ 3/25/09 CLINTON UBRARY PHOTOCOPY","440-445","440-444","432-436","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf"
