topic,sequence,date,type,packetPages,actualConversationPacketPages,hits,terms,title,pdf
"NATO / European Security","31","1995-05-10","Memcon","171-187","171-186","67","nato:41; partnership for peace:1; pfp:13; european security:12","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf"
"NATO / European Security","49","1997-03-21","Memcon","292-303","292-302","46","nato:38; partnership for peace:1; pfp:1; european security:3; helsinki:3","Helsinki Morning Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf"
"NATO / European Security","53","1997-05-27","Memcon","325-333","325-332","29","nato:10; partnership for peace:1; helsinki:2; paris:2; denver:14","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf"
"NATO / European Security","35","1995-10-23","Memcon","206-218","206-217","21","nato:18; paris:3","Clinton-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf"
"NATO / European Security","32","1995-06-17","Memcon","188-195","188-195","18","nato:13; pfp:4; european security:1","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf"
"NATO / European Security","30","1995-04-27","Telcon","166-170","166-169","16","nato:14; partnership for peace:1; european security:1","Telephone call with President Boris Yeltsin of Russia, April 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-04-27-telcon-27.pdf"
"NATO / European Security","48","1997-02-27","Telcon","288-291","288-290","16","nato:3; european security:1; helsinki:10; denver:2","Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-02-27-telcon-43.pdf"
"NATO / European Security","51","1997-03-21","Memcon","313-317","313-316","14","nato:9; european security:1; helsinki:2; paris:2","Helsinki Afternoon Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-afternoon.pdf"
"NATO / European Security","54","1997-06-20","Memcon","334-342","334-341","14","nato:4; european security:1; helsinki:4; paris:3; denver:2","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf"
"NATO / European Security","26","1994-09-28","Memcon","145-150","145-150","12","nato:11; european security:1","Second Clinton/Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf"
"NATO / European Security","38","1996-02-21","Telcon","231-235","231-234","12","nato:9; partnership for peace:1; pfp:1; european security:1","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf"
"NATO / European Security","75","1999-04-25","Telcon","453-465","453-464","12","nato:12","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf"
"NATO / European Security","74","1999-04-19","Telcon","446-452","446-451","11","nato:11","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf"
"NATO / European Security","50","1997-03-21","Memcon","304-312","304-311","10","helsinki:1; paris:7; denver:2","Helsinki Working Lunch with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-working-lunch.pdf"
"NATO / European Security","15","1994-01-13","Memcon","80-90","80-90","9","nato:6; partnership for peace:3","President's dinner with President Yeltsin, January 13/14, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf"
"NATO / European Security","34","1995-09-27","Telcon","202-205","202-204","8","nato:6; european security:2","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf"
"NATO / European Security","65","1998-06-15","Telcon","401-406","401-405","7","nato:7","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf"
"NATO / European Security","13","1993-12-22","Telcon","69-73","69-72","6","nato:5; partnership for peace:1","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf"
"NATO / European Security","21","1994-04-20","Telcon","112-116","112-115","6","nato:6","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf"
"NATO / European Security","33","1995-07-28","Telcon","196-201","196-200","6","nato:6","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf"
"NATO / European Security","37","1996-01-26","Telcon","225-230","225-229","6","nato:6","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf"
"NATO / European Security","52","1997-03-21","Memcon","318-324","318-323","6","nato:2; helsinki:4","Helsinki Private Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf"
"NATO / European Security","72","1998-12-30","Telcon","435-439","435-439","6","nato:5; european security:1","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf"
"NATO / European Security","20","1994-04-10","Telcon","108-111","108-110","5","nato:5","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf"
"NATO / European Security","62","1998-05-17","Memcon","383-391","383-390","5","nato:2; helsinki:1; paris:1; denver:1","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf"
"NATO / European Security","23","1994-07-05","Telcon","122-125","122-124","4","nato:2; partnership for peace:2","Telephone call with President Boris Yeltsin of Russia, July 5, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-07-05-telcon-21.pdf"
"NATO / European Security","82","1999-06-20","Memcon","494-503","494-502","4","nato:1; helsinki:2; paris:1","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf"
"NATO / European Security","2","1993-02-10","Telcon","5-8","5-7","3","nato:3","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf"
"NATO / European Security","14","1994-01-13","Memcon","74-79","74-79","3","nato:2; partnership for peace:1","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf"
"NATO / European Security","41","1996-04-21","Memcon","247-260","247-259","3","nato:3","POTUS-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf"
"NATO / European Security","4","1993-04-04","Memcon","19-31","19-30","2","paris:2","Meeting with Russian President Boris Yeltsin on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf"
"NATO / European Security","17","1994-01-14","Memcon","94-101","94-101","2","partnership for peace:2","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf"
"NATO / European Security","1","1993-01-23","Telcon","1-4","1-3","1","paris:1","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf"
"NATO / European Security","19","1994-02-20","Telcon","104-107","104-106","1","nato:1","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf"
"NATO / European Security","22","1994-06-13","Telcon","117-121","117-120","1","partnership for peace:1","Telephone Call with President Boris Yeltsin of Russia, June 13, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-06-13-telcon-20.pdf"
"NATO / European Security","36","1995-10-23","Memcon","219-224","219-223","1","nato:1","Lunch with Boris Yeltsin, President of Russian Federation","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-lunch.pdf"
"NATO / European Security","43","1996-05-07","Telcon","269-273","269-272","1","paris:1","Telephone call with President Boris Yeltsin of Russia, May 7, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-05-07-telcon-38.pdf"
"NATO / European Security","44","1996-06-18","Telcon","274-276","274-275","1","nato:1","Telephone call with President Boris Yeltsin of Russia, June 18, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-06-18-telcon-39.pdf"
"NATO / European Security","45","1996-07-05","Telcon","277-280","277-279","1","nato:1","Telephone call with President Boris Yeltsin of Russia, July 5, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-07-05-telcon-40.pdf"
"NATO / European Security","55","1997-10-30","Telcon","343-349","343-348","1","helsinki:1","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf"
"NATO / European Security","71","1998-10-05","Telcon","432-434","432-434","1","nato:1","Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf"
"NATO / European Security","73","1999-03-24","Telcon","440-445","440-444","1","nato:1","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf"
"NATO / European Security","78","1999-06-08","Telcon","474-477","474-476","1","nato:1","Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf"
"NATO / European Security","81","1999-06-14","Telcon","489-493","489-492","1","helsinki:1","Telephone call with President Boris Yeltsin of Russia, June 14, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-14-telcon-76.pdf"
"Kosovo / Balkans","75","1999-04-25","Telcon","453-465","453-464","48","kosovo:9; yugoslavia:11; milosevic:27; balkans:1","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf"
"Kosovo / Balkans","74","1999-04-19","Telcon","446-452","446-451","33","kosovo:11; yugoslavia:10; serbia:1; milosevic:10; balkans:1","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf"
"Kosovo / Balkans","65","1998-06-15","Telcon","401-406","401-405","25","kosovo:6; yugoslavia:3; milosevic:12; contact group:4","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf"
"Kosovo / Balkans","80","1999-06-13","Telcon","481-488","481-487","24","kosovo:19; kfor:5","Telephone call with President Boris Yeltsin of Russia, June 13, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-13-telcon-75.pdf"
"Kosovo / Balkans","71","1998-10-05","Telcon","432-434","432-434","22","kosovo:8; yugoslavia:7; milosevic:5; balkans:2","Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf"
"Kosovo / Balkans","73","1999-03-24","Telcon","440-445","440-444","18","kosovo:5; serbia:2; milosevic:9; balkans:1; contact group:1","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf"
"Kosovo / Balkans","24","1994-09-27","Memcon","126-133","126-132","16","milosevic:13; contact group:3","Clinton-Yeltsin one-on-one memcon, September 27, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-white-house-one-on-one.pdf"
"Kosovo / Balkans","33","1995-07-28","Telcon","196-201","196-200","13","serbia:2; milosevic:7; contact group:4","Telephone call with President Boris Yeltsin of Russia, July 28, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-07-28-telcon-30.pdf"
"Kosovo / Balkans","82","1999-06-20","Memcon","494-503","494-502","13","kosovo:11; yugoslavia:1; kfor:1","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf"
"Kosovo / Balkans","62","1998-05-17","Memcon","383-391","383-390","9","kosovo:3; yugoslavia:2; milosevic:3; contact group:1","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf"
"Kosovo / Balkans","68","1998-08-14","Telcon","415-421","415-420","9","kosovo:4; milosevic:5","Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf"
"Kosovo / Balkans","78","1999-06-08","Telcon","474-477","474-476","9","kosovo:1; yugoslavia:1; serbia:2; milosevic:5","Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf"
"Kosovo / Balkans","81","1999-06-14","Telcon","489-493","489-492","9","kosovo:8; kfor:1","Telephone call with President Boris Yeltsin of Russia, June 14, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-14-telcon-76.pdf"
"Kosovo / Balkans","60","1998-04-06","Telcon","371-376","371-375","8","kosovo:3; milosevic:3; contact group:2","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf"
"Kosovo / Balkans","2","1993-02-10","Telcon","5-8","5-7","7","kosovo:1; yugoslavia:2; serbia:2; milosevic:2","Telephone call with President Boris Yeltsin of Russia, February 10, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-02-10-telcon-02.pdf"
"Kosovo / Balkans","19","1994-02-20","Telcon","104-107","104-106","6","yugoslavia:3; milosevic:3","Telephone call with President Boris Yeltsin of Russia, February 20, 1994, White House White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-02-20-telcon-16.pdf"
"Kosovo / Balkans","21","1994-04-20","Telcon","112-116","112-115","6","yugoslavia:3; serbia:2; milosevic:1","Telephone call with President Boris Yeltsin of Russia, April 20, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-20-telcon-18.pdf"
"Kosovo / Balkans","61","1998-05-12","Telcon","377-382","377-381","5","kosovo:2; balkans:2; contact group:1","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf"
"Kosovo / Balkans","76","1999-05-02","Telcon","466-470","466-469","5","kosovo:1; yugoslavia:1; milosevic:1; balkans:2","Telephone call with President Boris Yeltsin of Russia, May 2, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-05-02-telcon-71.pdf"
"Kosovo / Balkans","35","1995-10-23","Memcon","206-218","206-217","4","yugoslavia:1; milosevic:2; balkans:1","Clinton-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf"
"Kosovo / Balkans","69","1998-08-25","Telcon","422-426","422-425","4","kosovo:3; milosevic:1","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf"
"Kosovo / Balkans","66","1998-06-16","Telcon","407-409","407-408","3","milosevic:2; contact group:1","Telephone call with President Boris Yeltsin of Russia, June 16, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-16-telcon-59.pdf"
"Kosovo / Balkans","20","1994-04-10","Telcon","108-111","108-110","2","milosevic:2","Telephone call with President Boris Yeltsin of Russia, April 10, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-04-10-telcon-17.pdf"
"Kosovo / Balkans","77","1999-06-07","Telcon","471-473","471-472","2","milosevic:2","Telephone call with President Boris Yeltsin of Russia, June 7, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-07-telcon-72.pdf"
"Kosovo / Balkans","1","1993-01-23","Telcon","1-4","1-3","1","yugoslavia:1","Telephone call with President Boris Yeltsin of Russia, January 23, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-01-23-telcon-01.pdf"
"Kosovo / Balkans","3","1993-04-03","Memcon","9-18","9-17","1","serbia:1","Working Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-03-clinton-yeltsin-vancouver-working-dinner.pdf"
"Kosovo / Balkans","4","1993-04-04","Memcon","19-31","19-30","1","yugoslavia:1","Meeting with Russian President Boris Yeltsin on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf"
"Kosovo / Balkans","10","1993-09-07","Telcon","56-60","56-59","1","yugoslavia:1","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf"
"Kosovo / Balkans","25","1994-09-27","Memcon","134-144","134-143","1","milosevic:1","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf"
"Kosovo / Balkans","29","1995-02-13","Telcon","161-165","161-164","1","yugoslavia:1","Telephone call with President Boris Yeltsin of Russia, February 13, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-02-13-telcon-26.pdf"
"Kosovo / Balkans","34","1995-09-27","Telcon","202-205","202-204","1","contact group:1","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf"
"Kosovo / Balkans","79","1999-06-10","Telcon","478-480","478-479","1","kosovo:1","Telephone call with President Boris Yeltsin of Russia, June 10, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-10-telcon-74.pdf"
"Kosovo / Balkans","83","1999-09-08","Telcon","504-509","504-508","1","kosovo:1","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf"
"Ukraine / Nuclear Security","25","1994-09-27","Memcon","134-144","134-143","43","ukraine:7; trilateral:2; nuclear weapons:6; nuclear:27; budapest:1","Meeting with President Boris Yeltsin of Russia, September 27, 1994, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-09-27-clinton-yeltsin-expanded-security-session.pdf"
"Ukraine / Nuclear Security","16","1994-01-14","Memcon","91-93","91-93","29","ukraine:12; kravchuk:4; trilateral:3; nuclear weapons:4; nuclear:6","Trilateral Meeting with President Boris Yeltsin of Russia on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-trilateral-yeltsin-kravchuk.pdf"
"Ukraine / Nuclear Security","4","1993-04-04","Memcon","19-31","19-30","18","ukraine:4; nuclear weapons:2; nuclear:12","Meeting with Russian President Boris Yeltsin on Security Issues","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-04-04-clinton-yeltsin-vancouver-security-issues.pdf"
"Ukraine / Nuclear Security","9","1993-07-10","Memcon","46-55","46-54","17","ukraine:9; nuclear weapons:1; nuclear:7","Meeting with President Boris Yeltsin of Russia, July 10, 1993, Tokyo, Japan","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-07-10-memcon-09.pdf"
"Ukraine / Nuclear Security","17","1994-01-14","Memcon","94-101","94-101","16","ukraine:3; trilateral:1; nuclear weapons:2; nuclear:10","Second Expanded Bilateral Session with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1994-01-14-memcon-second-expanded-bilateral-session.pdf"
"Ukraine / Nuclear Security","31","1995-05-10","Memcon","171-187","171-186","16","ukraine:3; nuclear weapons:1; nuclear:12","Meeting with President Boris Yeltsin of Russia, May 10, 1995, The Kremlin, Moscow, Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-05-10-memcon-28.pdf"
"Ukraine / Nuclear Security","13","1993-12-22","Telcon","69-73","69-72","14","ukraine:5; kravchuk:4; trilateral:1; nuclear:4","Telephone call with President Boris Yeltsin of Russia, December 22, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-12-22-telcon-13.pdf"
"Ukraine / Nuclear Security","10","1993-09-07","Telcon","56-60","56-59","12","ukraine:5; kravchuk:3; nuclear weapons:1; nuclear:3","Telephone call with President Boris Yeltsin of Russia, September 7, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-09-07-telcon-10.pdf"
"Ukraine / Nuclear Security","49","1997-03-21","Memcon","292-303","292-302","12","ukraine:5; nuclear weapons:3; nuclear:4","Helsinki Morning Meeting with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-morning.pdf"
"Ukraine / Nuclear Security","52","1997-03-21","Memcon","318-324","318-323","12","nuclear weapons:3; nuclear:9","Helsinki Private Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf"
"Ukraine / Nuclear Security","15","1994-01-13","Memcon","80-90","80-90","9","ukraine:6; kravchuk:1; trilateral:1; nuclear:1","President's dinner with President Yeltsin, January 13/14, 1994","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-yeltsin-dinner-cable.pdf"
"Ukraine / Nuclear Security","32","1995-06-17","Memcon","188-195","188-195","9","nuclear weapons:2; nuclear:7","Meeting with President Boris Yeltsin of Russia, June 17, 1995, Halifax, Nova Scotia, Canada","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-06-17-memcon-29.pdf"
"Ukraine / Nuclear Security","40","1996-04-09","Telcon","241-246","241-245","8","ukraine:1; nuclear weapons:1; nuclear:6","Telephone call with President Boris Yeltsin of Russia, April 9, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-09-telcon-36.pdf"
"Ukraine / Nuclear Security","35","1995-10-23","Memcon","206-218","206-217","7","nuclear weapons:1; nuclear:6","Clinton-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-10-23-clinton-yeltsin-hyde-park-one-on-one.pdf"
"Ukraine / Nuclear Security","84","1999-11-19","Memcon","510-517","510-516","7","nuclear weapons:2; nuclear:5","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf"
"Ukraine / Nuclear Security","7","1993-05-10","Telcon","38-40","38-39","6","nuclear weapons:3; nuclear:3","Telephone call with President Boris Yeltsin of Russia, May 10, 1993, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1993-05-10-telcon-07.pdf"
"Ukraine / Nuclear Security","26","1994-09-28","Memcon","145-150","145-150","6","ukraine:2; trilateral:2; nuclear:1; budapest:1","Second Clinton/Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-09-28-second-one-on-one.pdf"
"Ukraine / Nuclear Security","61","1998-05-12","Telcon","377-382","377-381","6","nuclear weapons:1; nuclear:5","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf"
"Ukraine / Nuclear Security","14","1994-01-13","Memcon","74-79","74-79","5","ukraine:2; kravchuk:1; nuclear weapons:1; nuclear:1","One-on-One Meeting with President Boris Yeltsin of Russia","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/clinton-standalone-1994-01-13-memcon-one-on-one.pdf"
"Ukraine / Nuclear Security","34","1995-09-27","Telcon","202-205","202-204","5","nuclear:5","Telephone call with President Boris Yeltsin of Russia, September 27, 1995, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1995-09-27-telcon-31.pdf"
"Ukraine / Nuclear Security","37","1996-01-26","Telcon","225-230","225-229","5","ukraine:1; nuclear weapons:1; nuclear:3","Telephone call with President Boris Yeltsin of Russia, January 26, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-01-26-telcon-33.pdf"
"Ukraine / Nuclear Security","38","1996-02-21","Telcon","231-235","231-234","5","ukraine:3; nuclear:2","Telephone call with President Boris Yeltsin of Russia, February 21, 1996, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-02-21-telcon-34.pdf"
"Ukraine / Nuclear Security","41","1996-04-21","Memcon","247-260","247-259","3","nuclear:3","POTUS-Yeltsin One-on-One","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-one-on-one.pdf"
"Ukraine / Nuclear Security","42","1996-04-21","Memcon","261-268","261-267","3","nuclear:3","Luncheon Meeting with Russian President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1996-04-21-memcon-moscow-luncheon.pdf"
